,Total lipid (fat),Saturated fat,Cholesterol,Total carbohydrates,Sodium,Dietary Fiber,Protein,Added sugars,Vitamin A,Vitamin C,Calcium,Iron,Vitamin D,Vitamin E,Vitamin K,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Vitamin B12,Biotin,Pantothenic acid,Phosphorus,Iodine,Magnesium,Zinc,Selenium,Copper,Manganese,Chromium,Molybdenum,Chloride,Potassium,Choline,Protein.1,title,raitings,links
almond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mixed Greens with Goat Cheese and Candied Almonds,4.7,https://www.epicurious.com/recipes/food/views/mixed-greens-with-goat-cheese-and-candied-almonds-104191
amaretto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chicken Tagine with Apricots and Spiced Pine Nuts,4.4,https://www.epicurious.com/recipes/food/views/chicken-tagine-with-apricots-and-spiced-pine-nuts-241506
anchovy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sophisto Joes,4.0,https://www.epicurious.com/recipes/food/views/sophisto-joes-240266
anise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anise-Almond Biscotti,5.0,https://www.epicurious.com/recipes/food/views/anise-almond-biscotti-102706
apple,0,0,0,0,0,0,1,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,Best Cocoa Brownies,4.4,https://www.epicurious.com/recipes/food/views/best-cocoa-brownies-108346
apple juice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apple-Matzoh Kugel,4.7,https://www.epicurious.com/recipes/food/views/apple-matzoh-kugel-104862
apricot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apricot-Glazed Turkey with Roasted Onion and Shallot Gravy,5.0,https://www.epicurious.com/recipes/food/views/apricot-glazed-turkey-with-roasted-onion-and-shallot-gravy-2602
artichoke,9,0,0,0,13,0,3,0,85,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Artichoke Bruschetta,4.3,https://www.epicurious.com/recipes/food/views/artichoke-bruschetta-5864
arugula,0,0,0,0,1,0,5,0,61,16,14,7,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,My Favorite Falafel,4.6,https://www.epicurious.com/recipes/food/views/my-favorite-falafel-231755
asian pear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Persian Love Cake,4.5,https://www.epicurious.com/recipes/food/views/persian-love-cake-232273
asparagus,0,0,0,0,0,0,5,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,Cream of Asparagus Soup,4.6,https://www.epicurious.com/recipes/food/views/cream-of-asparagus-soup-creme-dasperges-104746
avocado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pan-Seared Tuna with Ginger-Shiitake Cream Sauce,4.7,https://www.epicurious.com/recipes/food/views/pan-seared-tuna-with-ginger-shiitake-cream-sauce-100670
bacon,46,0,12,0,90,0,71,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,Penne in Cream Sauce with Sausage,4.3,https://www.epicurious.com/recipes/food/views/penne-in-cream-sauce-with-sausage-3072
banana,1,0,0,0,0,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aunt Holly's Banana Bread,4.7,https://www.epicurious.com/recipes/food/views/aunt-hollys-banana-bread-239027
barley,1,0,0,0,0,0,21,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,21,Barley and Lentil Soup with Swiss Chard,4.4,https://www.epicurious.com/recipes/food/views/barley-and-lentil-soup-with-swiss-chard-231578
basil,50,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shrimp Scampi Pasta,4.6,https://www.epicurious.com/recipes/food/views/shrimp-scampi-pasta
bass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Miso Glazed Sea Bass,4.7,https://www.epicurious.com/recipes/food/views/miso-glazed-sea-bass-102851
bean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spiced Pumpkin Bread,4.5,https://www.epicurious.com/recipes/food/views/spiced-pumpkin-bread-840
beef,35,0,21,0,42,0,23,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,Turkey Meatloaf,4.7,https://www.epicurious.com/recipes/food/views/turkey-meatloaf-107599
beef rib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mahogany Beef Stew with Red Wine and Hoisin Sauce,4.0,https://www.epicurious.com/recipes/food/views/mahogany-beef-stew-with-red-wine-and-hoisin-sauce-106212
beef shank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Beef Tenderloin with Roasted Shallots, Bacon and Port",4.7,https://www.epicurious.com/recipes/food/views/beef-tenderloin-with-roasted-shallots-bacon-and-port-4542
beef tenderloin,10,0,17,0,3,0,41,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,Beef Stroganoff,4.3,https://www.epicurious.com/recipes/food/views/beef-stroganoff-102134
beer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chocolate Stout Cake,4.7,https://www.epicurious.com/recipes/food/views/chocolate-stout-cake-107105
beet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beet and Goat Cheese Salad with Pistachios,5.0,https://www.epicurious.com/recipes/food/views/beet-and-goat-cheese-salad-with-pistachios-107426
bell pepper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Halftime Chili,4.0,https://www.epicurious.com/recipes/food/views/halftime-chili-1201
berry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Raspberry Buttermilk Cake,4.7,https://www.epicurious.com/recipes/food/views/raspberry-buttermilk-cake-353616
biscuit,31,0,0,0,7,0,14,0,13,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,Crème Brûlée French Toast,4.5,https://www.epicurious.com/recipes/food/views/creme-brulee-french-toast-15213
bitters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bittersweet Molten Chocolate Cakes with Coffee Ice Cream,4.7,https://www.epicurious.com/recipes/food/views/bittersweet-molten-chocolate-cakes-with-coffee-ice-cream-107659
blackberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Peach and Blackberry Crisp,4.3,https://www.epicurious.com/recipes/food/views/peach-and-blackberry-crisp-12347
blue cheese,37,0,24,0,61,0,43,0,79,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,Blue-Cheese-Crusted Steaks with Red Wine Sauce,4.6,https://www.epicurious.com/recipes/food/views/blue-cheese-crusted-steaks-with-red-wine-sauce-108816
blueberry,20,0,0,0,13,0,3,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,Red Velvet Cake with Raspberries and Blueberries,4.3,https://www.epicurious.com/recipes/food/views/red-velvet-cake-with-raspberries-and-blueberries-108256
bok choy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Salmon ""Bulgogi"" with Bok Choy and Mushrooms",4.6,https://www.epicurious.com/recipes/food/views/salmon-bulgogi-with-bok-choy-and-mushrooms-242481
bourbon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chocolate Whiskey Bundt Cake,4.6,https://www.epicurious.com/recipes/food/views/chocolate-whiskey-bundt-cake-232636
bran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fig and Walnut Tapenade with Goat Cheese,4.6,https://www.epicurious.com/recipes/food/views/fig-and-walnut-tapenade-with-goat-cheese-105649
brandy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Champagne Punch,4.7,https://www.epicurious.com/recipes/food/views/champagne-punch-102342
bread,1,0,0,0,19,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,Spiced Pumpkin Bread,4.5,https://www.epicurious.com/recipes/food/views/spiced-pumpkin-bread-840
breadcrumbs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Macaroni and Cheese with Garlic Bread Crumbs, Plain and Chipotle",4.4,https://www.epicurious.com/recipes/food/views/macaroni-and-cheese-with-garlic-bread-crumbs-plain-and-chipotle-102738
brie,41,0,36,0,31,0,36,0,99,0,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,Crème Brûlée French Toast,4.5,https://www.epicurious.com/recipes/food/views/creme-brulee-french-toast-15213
brisket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brisket with Portobello Mushrooms and Dried Cranberries,4.5,https://www.epicurious.com/recipes/food/views/brisket-with-portobello-mushrooms-and-dried-cranberries-5787
broccoli,0,0,0,0,1,0,5,0,0,63,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,"Broccoli, Red Pepper, and Cheddar Chowder",4.3,https://www.epicurious.com/recipes/food/views/broccoli-red-pepper-and-cheddar-chowder-105893
broccoli rabe,0,0,0,0,1,0,7,0,1,20,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,Roasted Broccoli with Garlic and Red Pepper,4.6,https://www.epicurious.com/recipes/food/views/roasted-broccoli-with-garlic-and-red-pepper-351031
brown rice,5,0,0,0,0,0,14,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,14,Coconut Rice,4.0,https://www.epicurious.com/recipes/food/views/coconut-rice-14936
brownie,29,0,12,0,2,0,7,0,7,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Best Cocoa Brownies,4.4,https://www.epicurious.com/recipes/food/views/best-cocoa-brownies-108346
brussel sprout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kale and Brussels Sprouts Salad,5.0,https://www.epicurious.com/recipes/food/views/kale-brussels-sprout-salad-368295
buffalo,41,0,0,0,15,0,14,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,Buffalo Salmon,4.4,https://www.epicurious.com/recipes/food/views/buffalo-salmon-242298
bulgur,2,0,0,0,1,0,24,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,24,Bulgur Veggie Burgers with Lime Mayonnaise,4.3,https://www.epicurious.com/recipes/food/views/bulgur-veggie-burgers-with-lime-mayonnaise-242594
burrito,4,0,0,0,12,0,9,0,21,3,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Bean Burrito Casserole,4.0,https://www.epicurious.com/recipes/food/views/bean-burrito-casserole-13572
butter,1,0,71,0,28,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chocolate Chip Banana Bread With Walnuts,4.3,https://www.epicurious.com/recipes/food/views/chocolate-chip-banana-bread-with-walnuts
buttermilk,3,0,2,0,2,0,8,0,14,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Chocolate Chip Banana Bread With Walnuts,4.3,https://www.epicurious.com/recipes/food/views/chocolate-chip-banana-bread-with-walnuts
butternut squash,2,0,2,0,1,0,2,0,76,24,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Winter Squash Soup,4.6,https://www.epicurious.com/recipes/food/views/winter-squash-soup-with-gruyere-croutons-2997
butterscotch/caramel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Caramel Cake,4.0,https://www.epicurious.com/recipes/food/views/caramel-cake-241217
cabbage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cabbage and Corn Slaw with Cilantro and Orange Dressing,4.5,https://www.epicurious.com/recipes/food/views/cabbage-and-corn-slaw-with-cilantro-and-orange-dressing-238803
cake,20,0,40,0,6,0,12,0,54,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,Double Chocolate Layer Cake,4.7,https://www.epicurious.com/recipes/food/views/double-chocolate-layer-cake-101275
calvados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Calabaza, Corn, and Coconut Soup",4.7,https://www.epicurious.com/recipes/food/views/calabaza-corn-and-coconut-soup-231483
campari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Baked Rigatoni with Ham, Tomatoes and Feta Cheese",4.0,https://www.epicurious.com/recipes/food/views/baked-rigatoni-with-ham-tomatoes-and-feta-cheese-4597
candy,10,0,0,0,13,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"White Chocolate, Cranberry, and Macadamia Nut Cookies",4.7,https://www.epicurious.com/recipes/food/views/white-chocolate-cranberry-and-macadamia-nut-cookies-236823
cantaloupe,0,0,0,0,1,0,2,0,15,40,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Pinto Bean Sweet Potato Chili,4.3,https://www.epicurious.com/recipes/food/views/pinto-bean-sweet-potato-chili-266
capers,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Baked Flounder with Tomato Caper Sauce,4.3,https://www.epicurious.com/recipes/food/views/baked-flounder-with-tomato-caper-sauce-105592
caraway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Caramel Cake,4.0,https://www.epicurious.com/recipes/food/views/caramel-cake-241217
cardamom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pineapple-Cardamom Upside-Down Cake,4.4,https://www.epicurious.com/recipes/food/views/pineapple-upside-down-cake-103088
carrot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Triple-Layer Carrot Cake with Cream Cheese Frosting,4.7,https://www.epicurious.com/recipes/food/views/triple-layer-carrot-cake-with-cream-cheese-frosting-799
cashew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chicken Curry with Cashews,4.6,https://www.epicurious.com/recipes/food/views/chicken-curry-with-cashews-231358
cauliflower,0,0,0,0,1,0,2,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Roasted Cauliflower with Garlic,4.0,https://www.epicurious.com/recipes/food/views/roasted-cauliflower-with-garlic-105730
caviar,26,0,11,0,72,0,40,0,74,0,10,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,Texas Caviar from the Cowgirl Hall of Fame Restaurant,4.5,https://www.epicurious.com/recipes/food/views/texas-caviar-from-the-cowgirl-hall-of-fame-restaurant-14807
celery,0,0,0,0,5,0,0,0,51,9,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,Old-Fashioned Chicken Noodle Soup,4.6,https://www.epicurious.com/recipes/food/views/old-fashioned-chicken-noodle-soup-5748
chambord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yogurt-Marinated Chicken Kebabs with Aleppo Pepper,4.7,https://www.epicurious.com/recipes/food/views/yogurt-marinated-chicken-kebabs-with-aleppo-pepper-353832
champagne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marinated Shrimp with Champagne Beurre Blanc,4.6,https://www.epicurious.com/recipes/food/views/marinated-shrimp-with-champagne-beurre-blanc-108934
chard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sauteed Swiss Chard with Onions,4.7,https://www.epicurious.com/recipes/food/views/sauteed-swiss-chard-with-onions-240560
chartreuse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Berry Streusel Pie,4.7,https://www.epicurious.com/recipes/food/views/berry-streusel-pie-106866
cheddar,43,0,33,0,32,0,47,0,0,0,44,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,47,Three-Cheese Fondue with Champagne,4.5,https://www.epicurious.com/recipes/food/views/three-cheese-fondue-with-champagne-104710
cheese,14,0,6,0,16,0,18,0,12,4,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,Three-Cheese Lasagna with Italian Sausage,4.5,https://www.epicurious.com/recipes/food/views/three-cheese-lasagna-with-italian-sausage-3152
cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
chestnut,1,0,0,0,0,0,8,0,0,27,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"Butternut Squash, Sage, and Goat Cheese Ravioli with Hazelnut Brown-Butter Sauce",4.0,https://www.epicurious.com/recipes/food/views/butternut-squash-sage-and-goat-cheese-ravioli-with-hazelnut-brown-butter-sauce-14287
chicken,11,0,18,0,41,0,32,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,Simple Roast Chicken,5.0,https://www.epicurious.com/recipes/food/views/my-favorite-simple-roast-chicken-231348
chickpea,8,0,0,0,1,0,38,0,6,4,8,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,African Curried Coconut Soup with Chickpeas,4.7,https://www.epicurious.com/recipes/food/views/african-curried-coconut-soup-with-chickpeas-352349
chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pan-Seared Tilapia with Chile Lime Butter,4.5,https://www.epicurious.com/recipes/food/views/pan-seared-tilapia-with-chile-lime-butter-108343
chile pepper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spicy Two-Bean Vegetarian Chili,4.4,https://www.epicurious.com/recipes/food/views/spicy-two-bean-vegetarian-chili-107274
chili,9,0,7,0,23,0,14,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,Turkey Chili with White Beans,4.6,https://www.epicurious.com/recipes/food/views/turkey-chili-with-white-beans-3090
chive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Macaroni and Blue Cheese with Chives,4.3,https://www.epicurious.com/recipes/food/views/macaroni-and-blue-cheese-with-chives-107867
chocolate,32,0,9,0,2,0,11,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,Double Chocolate Layer Cake,4.7,https://www.epicurious.com/recipes/food/views/double-chocolate-layer-cake-101275
cilantro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pan-Seared Tuna with Ginger-Shiitake Cream Sauce,4.7,https://www.epicurious.com/recipes/food/views/pan-seared-tuna-with-ginger-shiitake-cream-sauce-100670
cinnamon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spiced Pumpkin Bread,4.5,https://www.epicurious.com/recipes/food/views/spiced-pumpkin-bread-840
citrus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Citrus Tilapia,4.4,https://www.epicurious.com/recipes/food/views/citrus-tilapia-356149
clam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New England Clam Chowder,4.6,https://www.epicurious.com/recipes/food/views/new-england-clam-chowder-104185
clove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New England Clam Chowder,4.6,https://www.epicurious.com/recipes/food/views/new-england-clam-chowder-104185
coconut,85,0,0,0,1,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,Chocolate Chip Banana Bread With Walnuts,4.3,https://www.epicurious.com/recipes/food/views/chocolate-chip-banana-bread-with-walnuts
cod,1,0,14,0,27,0,36,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,36,Black Cod with Miso,4.7,https://www.epicurious.com/recipes/food/views/black-cod-with-miso-105872
coffee,32,0,0,0,8,0,21,0,0,5,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,Chocolate Espresso Cookies,4.5,https://www.epicurious.com/recipes/food/views/chocolate-espresso-cookies-13440
cognac/armagnac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beef Medallions with Cognac Sauce,4.4,https://www.epicurious.com/recipes/food/views/beef-medallions-with-cognac-sauce-100654
collard greens,0,0,0,0,6,0,3,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,Collard Greens with Red Onions and Bacon,4.6,https://www.epicurious.com/recipes/food/views/collard-greens-with-red-onions-and-bacon-13471
condiment,0,0,0,0,9,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ranch Dressing,4.0,https://www.epicurious.com/recipes/food/views/ranch-dressing-100983
condiment/spread,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic Pesto,4.6,https://www.epicurious.com/recipes/food/views/classic-pesto-109802
cookie,37,0,12,0,0,0,14,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,Spiced Pumpkin Bread,4.5,https://www.epicurious.com/recipes/food/views/spiced-pumpkin-bread-840
cookies,7,0,0,0,19,0,14,0,0,0,5,21,0,0,0,0,18,17,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,14,Spiced Pumpkin Bread,4.5,https://www.epicurious.com/recipes/food/views/spiced-pumpkin-bread-840
coriander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pan-Seared Tuna with Ginger-Shiitake Cream Sauce,4.7,https://www.epicurious.com/recipes/food/views/pan-seared-tuna-with-ginger-shiitake-cream-sauce-100670
