,Total lipid (fat),Saturated fat,Cholesterol,Total carbohydrates,Sodium,Dietary Fiber,Protein,Added sugars,Vitamin A,Vitamin C,Calcium,Iron,Vitamin D,Vitamin E,Vitamin K,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Vitamin B12,Biotin,Pantothenic acid,Phosphorus,Iodine,Magnesium,Zinc,Selenium,Copper,Manganese,Chromium,Molybdenum,Chloride,Potassium,Choline,Protein.1,title,raitings,links
corn,1,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,My Favorite Falafel,4.6,https://www.epicurious.com/recipes/food/views/my-favorite-falafel-231755
cornmeal,0,0,0,0,0,0,14,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,Lemon Cornmeal Cake with Lemon Glaze and Crushed-Blueberry Sauce,4.7,https://www.epicurious.com/recipes/food/views/lemon-cornmeal-cake-with-lemon-glaze-and-crushed-blueberry-sauce-352048
cottage cheese,6,0,7,0,17,0,21,0,20,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,Shrimp Risotto with Baby Spinach and Basil,4.3,https://www.epicurious.com/recipes/food/views/shrimp-risotto-with-baby-spinach-and-basil-107841
couscous,0,0,0,0,0,0,27,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,27,Mediterranean Couscous and Lentil Salad,4.7,https://www.epicurious.com/recipes/food/views/mediterranean-couscous-and-lentil-salad-13106
crab,2,0,35,0,16,0,46,0,19,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,Dan's Baked Stuffed Shrimp,4.6,https://www.epicurious.com/recipes/food/views/dans-baked-stuffed-shrimp-11357
cranberry,0,0,0,0,0,0,25,0,0,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,Pork Tenderloin with Balsamic-Cranberry Sauce,4.5,https://www.epicurious.com/recipes/food/views/pork-tenderloin-with-balsamic-cranberry-sauce-100314
cranberry sauce,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
cream cheese,41,0,30,0,15,0,14,0,19,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,New York Cheesecake,4.5,https://www.epicurious.com/recipes/food/views/new-york-cheesecake-102592
créme de cacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ginger and Vanilla Bean Crème Brûlée,5.0,https://www.epicurious.com/recipes/food/views/ginger-and-vanilla-bean-creme-brulee-100487
crêpe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Crème Brûlée French Toast,4.5,https://www.epicurious.com/recipes/food/views/creme-brulee-french-toast-15213
cr��me de cacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cranberry-Lime Tart,4.0,https://www.epicurious.com/recipes/food/views/cranberry-lime-tart-108931
cucumber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kale and Brussels Sprouts Salad,5.0,https://www.epicurious.com/recipes/food/views/kale-brussels-sprout-salad-368295
cumin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Three-Bean Salad,4.7,https://www.epicurious.com/recipes/food/views/three-bean-salad-237666
cupcake,30,0,5,0,8,0,3,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Pumpkin Cheesecake with Caramel Swirl,5.0,https://www.epicurious.com/recipes/food/views/pumpkin-cheesecake-with-caramel-swirl-2635
currant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orange Currant Scones,4.4,https://www.epicurious.com/recipes/food/views/orange-currant-scones-14309
curry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chicken Curry with Cashews,4.6,https://www.epicurious.com/recipes/food/views/chicken-curry-with-cashews-231358
custard,3,0,0,0,2,0,6,0,68,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Ginger and Vanilla Bean Crème Brûlée,5.0,https://www.epicurious.com/recipes/food/views/ginger-and-vanilla-bean-creme-brulee-100487
dairy,4,0,5,0,2,0,7,0,14,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Butternut Squash Gratin with Goat Cheese and Hazelnuts,4.6,https://www.epicurious.com/recipes/food/views/butternut-squash-gratin-with-goat-cheese-and-hazelnuts-240412
date,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dates with Goat Cheese Wrapped in Prosciutto,4.7,https://www.epicurious.com/recipes/food/views/dates-with-goat-cheese-wrapped-in-prosciutto-241134
dill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salmon Glazed with Honey and Mustard,4.0,https://www.epicurious.com/recipes/food/views/salmon-glazed-with-honey-and-mustard-102649
dried fruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cranberry and Dried-Cherry Sauce,4.7,https://www.epicurious.com/recipes/food/views/cranberry-and-dried-cherry-sauce-107322
duck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Crisp Roast Duck,4.0,https://www.epicurious.com/recipes/food/views/crisp-roast-duck-235744
eau de vie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chicken Francaise,4.0,https://www.epicurious.com/recipes/food/views/chicken-francaise-108667
egg,15,0,0,0,16,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,Raspberry Buttermilk Cake,4.7,https://www.epicurious.com/recipes/food/views/raspberry-buttermilk-cake-353616
eggplant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eggplant Parmesan,4.7,https://www.epicurious.com/recipes/food/views/eggplant-parmesan
endive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pear, Arugula and Endive Salad with Candied Walnuts",4.4,https://www.epicurious.com/recipes/food/views/pear-arugula-and-endive-salad-with-candied-walnuts-104472
escarole,0,0,0,0,1,0,2,0,29,8,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Chocolate-Espresso Lava Cakes with Espresso Whipped Cream,4.5,https://www.epicurious.com/recipes/food/views/chocolate-espresso-lava-cakes-with-espresso-whipped-cream-106232
fennel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pumpkin Cheesecake With Bourbon–Sour Cream Topping,4.7,https://www.epicurious.com/recipes/food/views/pumpkin-cheesecake-with-bourbon-sour-cream-topping-13386
feta,37,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Three-Cheese Lasagna with Italian Sausage,4.5,https://www.epicurious.com/recipes/food/views/three-cheese-lasagna-with-italian-sausage-3152
fig,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Cranberry Sauce with Port and Dried Figs,5.0,https://www.epicurious.com/recipes/food/views/cranberry-sauce-with-port-and-dried-figs-105836
fish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pan-Seared Tuna with Ginger-Shiitake Cream Sauce,4.7,https://www.epicurious.com/recipes/food/views/pan-seared-tuna-with-ginger-shiitake-cream-sauce-100670
flat bread,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chocolate Chip Banana Bread With Walnuts,4.3,https://www.epicurious.com/recipes/food/views/chocolate-chip-banana-bread-with-walnuts
fontina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chicken Breasts Stuffed with Fontina, Artichokes, and Sun-Dried Tomatoes",4.3,https://www.epicurious.com/recipes/food/views/chicken-breasts-stuffed-with-fontina-artichokes-and-sun-dried-tomatoes-241332
fortified wine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Beef Tenderloin with Roasted Shallots, Bacon and Port",4.7,https://www.epicurious.com/recipes/food/views/beef-tenderloin-with-roasted-shallots-bacon-and-port-4542
frangelico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Capellini with Shrimp and Creamy Tomato Sauce,4.5,https://www.epicurious.com/recipes/food/views/capellini-with-shrimp-and-creamy-tomato-sauce-241995
frittata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vegetable Frittata With Asiago Cheese,4.0,https://www.epicurious.com/recipes/food/views/vegetable-frittata-with-asiago-cheese-4242
fritter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vegetable Frittata With Asiago Cheese,4.0,https://www.epicurious.com/recipes/food/views/vegetable-frittata-with-asiago-cheese-4242
fruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Banana-Macadamia Nut Muffins,4.6,https://www.epicurious.com/recipes/food/views/banana-macadamia-nut-muffins-2050
fruit juice,0,0,0,0,0,0,0,0,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Lemon Mousse with Fresh Berries,4.6,https://www.epicurious.com/recipes/food/views/lemon-mousse-with-fresh-berries-101987
game,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cornish Game Hens with Sweet-Potato Risotto and Cranberry Sauce,4.6,https://www.epicurious.com/recipes/food/views/cornish-game-hens-with-sweet-potato-risotto-and-cranberry-sauce-104344
garlic,37,0,24,0,33,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,Roast Pork Loin with Garlic and Rosemary,4.6,https://www.epicurious.com/recipes/food/views/roast-pork-loin-with-garlic-and-rosemary-101684
gin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dry Martini,4.5,https://www.epicurious.com/recipes/food/views/classic-dry-martini-237574
ginger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Red Velvet Cake with Raspberries and Blueberries,4.3,https://www.epicurious.com/recipes/food/views/red-velvet-cake-with-raspberries-and-blueberries-108256
goat cheese,27,0,30,0,9,0,36,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,"Goat Cheese, Artichoke, and Smoked Ham Strata",4.6,https://www.epicurious.com/recipes/food/views/goat-cheese-artichoke-and-smoked-ham-strata-4513
goose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Devil Dog Cake,4.0,https://www.epicurious.com/recipes/food/views/devil-dog-cake-241516
gouda,41,0,36,0,40,0,50,0,19,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,Smoked Gouda and Caramelized Onion Quesadillas,4.6,https://www.epicurious.com/recipes/food/views/smoked-gouda-and-caramelized-onion-quesadillas-699
grains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quick Oat Bran and Banana Muffins,4.0,https://www.epicurious.com/recipes/food/views/quick-oat-bran-and-banana-muffins-1132
grand marnier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grand Marnier French Toast,4.7,https://www.epicurious.com/recipes/food/views/grand-marnier-french-toast-715
granola,45,0,0,0,0,0,23,0,0,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,Panna Cotta,4.7,https://www.epicurious.com/recipes/food/views/panna-cotta-14224
grape,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roasted Beet Salad,4.6,https://www.epicurious.com/recipes/food/views/roasted-beet-salad-1022189
grapefruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pamplemousse Cocktail,5.0,https://www.epicurious.com/recipes/food/views/pamplemousse-cocktail-236903
grappa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Potato Gratin with Gruyère and Crème Fraîche,4.7,https://www.epicurious.com/recipes/food/views/potato-gratin-with-gruyere-and-creme-fraiche-107310
green bean,0,0,0,0,14,0,0,0,28,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Green Beans with Roasted Onions,4.3,https://www.epicurious.com/recipes/food/views/green-beans-with-roasted-onions-885
green onion/scallion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sea Scallops with Cilantro Gremolata and Ginger Lime Beurre Blanc,4.6,https://www.epicurious.com/recipes/food/views/sea-scallops-with-cilantro-gremolata-and-ginger-lime-beurre-blanc-106359
grill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Glazed Grilled Salmon,4.3,https://www.epicurious.com/recipes/food/views/glazed-grilled-salmon-2271
grill/barbecue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hot and Smoky Baked Beans,4.5,https://www.epicurious.com/recipes/food/views/hot-and-smoky-baked-beans-101852
ground beef,19,0,22,0,3,0,38,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,Turkey Meatloaf,4.7,https://www.epicurious.com/recipes/food/views/turkey-meatloaf-107599
ground lamb,26,0,25,0,3,0,34,0,10,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,Shepherd's Pie,4.5,https://www.epicurious.com/recipes/food/views/shepherds-pie-240224
guava,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,Guava-Stuffed Chicken with Caramelized Mango,4.0,https://www.epicurious.com/recipes/food/views/guava-stuffed-chicken-with-caramelized-mango-234806
halibut,2,0,12,0,2,0,41,0,20,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,"Seared Halibut with Haricots Verts, Scallions, and White Wine Sauce",4.7,https://www.epicurious.com/recipes/food/views/seared-halibut-with-haricots-verts-scallions-and-white-wine-sauce-104104
ham,4,0,18,0,37,0,34,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,"Goat Cheese, Artichoke, and Smoked Ham Strata",4.6,https://www.epicurious.com/recipes/food/views/goat-cheese-artichoke-and-smoked-ham-strata-4513
hamburger,7,0,0,0,21,0,19,0,0,0,11,14,0,0,0,0,18,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,Carolina Pulled-Pork Sandwiches,4.7,https://www.epicurious.com/recipes/food/views/carolina-pulled-pork-sandwiches-101803
hazelnut,41,0,4,0,3,0,15,0,0,0,11,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,Butternut Squash Gratin with Goat Cheese and Hazelnuts,4.6,https://www.epicurious.com/recipes/food/views/butternut-squash-gratin-with-goat-cheese-and-hazelnuts-240412
herb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Scalloped Potatoes with Goat Cheese and Herbes de Provence,4.4,https://www.epicurious.com/recipes/food/views/scalloped-potatoes-with-goat-cheese-and-herbes-de-provence-2999
honey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pork Tenderloin with Balsamic-Cranberry Sauce,4.5,https://www.epicurious.com/recipes/food/views/pork-tenderloin-with-balsamic-cranberry-sauce-100314
honeydew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Honey-Gingered Pork Tenderloins,4.6,https://www.epicurious.com/recipes/food/views/honey-gingered-pork-tenderloins-15277
horseradish,0,0,0,0,4,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prime Rib with Roasted Garlic and Horseradish Crust,4.6,https://www.epicurious.com/recipes/food/views/prime-rib-with-roasted-garlic-and-horseradish-crust-3142
hot pepper,32,0,36,0,50,0,43,0,19,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,Spicy Two-Bean Vegetarian Chili,4.4,https://www.epicurious.com/recipes/food/views/spicy-two-bean-vegetarian-chili-107274
hummus,11,0,0,0,11,0,20,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,Hummus,4.4,https://www.epicurious.com/recipes/food/views/hummus-101577
ice cream,13,0,12,0,3,0,7,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,Flourless Chocolate Cake,4.6,https://www.epicurious.com/recipes/food/views/flourless-chocolate-cake-14478
jalapeño,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fish Taco Platter,5.0,https://www.epicurious.com/recipes/food/views/fish-taco-platter-233703
jam or jelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Old-Fashioned Raspberry Jam,4.4,https://www.epicurious.com/recipes/food/views/old-fashioned-raspberry-jam-230700
jerusalem artichoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Artichoke Bruschetta,4.3,https://www.epicurious.com/recipes/food/views/artichoke-bruschetta-5864
jícama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Black Bean, Jícama, and Grilled Corn Salad",4.6,https://www.epicurious.com/recipes/food/views/black-bean-jicama-and-grilled-corn-salad-109678
kahlúa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Multi-Grain Pasta with Butternut Squash, Ground Lamb, and Kasseri",4.5,https://www.epicurious.com/recipes/food/views/multi-grain-pasta-with-butternut-squash-ground-lamb-and-kasseri-362950
kale,2,0,0,0,2,0,5,0,0,0,20,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,Kale and Brussels Sprouts Salad,5.0,https://www.epicurious.com/recipes/food/views/kale-brussels-sprout-salad-368295
kirsch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Almond Cake with Kirsch,4.7,https://www.epicurious.com/recipes/food/views/almond-cake-with-kirsch-101677
kiwi,0,0,0,0,6,0,0,0,0,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thai-Curry Seafood Stew,4.3,https://www.epicurious.com/recipes/food/views/thai-curry-seafood-stew-105676
kumquat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salmon and Rice Wrapped in Pastry with Dill Sauce,4.6,https://www.epicurious.com/recipes/food/views/salmon-and-rice-wrapped-in-pastry-with-dill-sauce-1248
lamb,26,0,24,0,3,0,34,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,Chicken Breasts Stuffed with Goat Cheese and Basil,4.3,https://www.epicurious.com/recipes/food/views/chicken-breasts-stuffed-with-goat-cheese-and-basil-2749
lamb chop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Leg of Lamb With Garlic and Rosemary,4.7,https://www.epicurious.com/recipes/food/views/leg-of-lamb-with-garlic-and-rosemary-105020
lamb shank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Leg of Lamb With Garlic and Rosemary,4.7,https://www.epicurious.com/recipes/food/views/leg-of-lamb-with-garlic-and-rosemary-105020
lasagna,8,0,5,0,15,0,16,0,39,7,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,Three-Cheese Lasagna with Italian Sausage,4.5,https://www.epicurious.com/recipes/food/views/three-cheese-lasagna-with-italian-sausage-3152
leafy green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mixed Green Salad with Oranges, Dried Cranberries and Pecans",4.5,https://www.epicurious.com/recipes/food/views/mixed-green-salad-with-oranges-dried-cranberries-and-pecans-15661
leek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Almond-Crusted Salmon with Leek and Lemon Cream,4.5,https://www.epicurious.com/recipes/food/views/almond-crusted-salmon-with-leek-and-lemon-cream-106414
legume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Polenta and Black Bean Casserole,4.0,https://www.epicurious.com/recipes/food/views/polenta-and-black-bean-casserole-106209
lemon,38,0,0,0,35,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lemon Layer Cake with Lemon Curd and Mascarpone,4.3,https://www.epicurious.com/recipes/food/views/lemon-layer-cake-with-lemon-curd-and-mascarpone-107898
lemon juice,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lemon Bars,4.0,https://www.epicurious.com/recipes/food/views/lemon-bars-101162
lemongrass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lemon Curd,5.0,https://www.epicurious.com/recipes/food/views/easy-lemon-curd
lentil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,French Lentil Soup,4.6,https://www.epicurious.com/recipes/food/views/french-lentil-soup-236772
lettuce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asian Turkey Lettuce Wraps,4.3,https://www.epicurious.com/recipes/food/views/asian-turkey-lettuce-wraps-106963
lima bean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Full O' Beans Chili,4.0,https://www.epicurious.com/recipes/food/views/full-o-beans-chili-232
lime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
lime juice,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Lime Mousse Cake,4.7,https://www.epicurious.com/recipes/food/views/lime-mousse-cake-103648
lingonberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Linguine with White Clam Sauce,4.4,https://www.epicurious.com/recipes/food/views/linguine-with-white-clam-sauce-529
